"word","mean","ipa","exampleSentence","translatedSentence","type"
"creation","〈U〉(…の)創造,創作,創設《+of+名》  / 〈U〉神が作ったもの,天地,万物  / 〈C〉創作品  / 《the C-》天地創造  / 〈C〉最新の衣服(帽子)","/krɪˈeɪʃən/","The artist's creation was admired by many.","その芸術家の創造物は多くの人に称賛されました。","NGSL"
"critic","(特に文学・美術・音楽の)評論家,批評家  / あら捜しをする人,酷評する人","/'krɪtɪk/","The critic praised the artist's latest work.","評論家はその芸術家の最新作を称賛した。","NGSL"
"criticism","〈U〉〈C〉(文学・芸術・一般的な事の)批評;〈C〉批評文,評論  / 〈U〉〈C〉酷評,非難,あら捜し","/'krɪtɪsɪzəm/","He couldn't handle the criticism and gave up on his dreams.","彼は批評に耐えられず、夢を諦めてしまった。","NGSL"
"criticize","…'を'非難する,酷評する  / …'を'批評する,批判する  / 酷評する;あら捜しをする","/kɹɪtɪˌsaɪz/","I don't like it when people criticize others without knowing the full story.","私は物事の全体像を知らずに他人を非難する人が嫌いです。","NGSL"
"cross","十字架","/krɒs/","She wore a necklace with a cross pendant.","彼女は十字架のペンダントが付いたネックレスを身に着けていました。","NGSL"
"crowd","(秩序・統制のない)(…の)群衆,人こみ《+of+名》  / 《the+》一般大衆,庶民  / (…の)たくさん寄り集まっているもの《+of+名》  / 《話》(特定の)グルーパ,連中  / 群らがる,大勢集まる  / 《副詞句を伴って》群らがって押し進む(押し寄せる)  / (…に)〈人・物〉'を'詰め力む,押し力む《+名+into+名》  / (…で)〈場所〉'を'いっぱいにする,(…を)…‘に'詰め込む《+名+with+名》  / 《話》せがむ,強要する","/krɑʊd/","The crowd became unruly and started pushing and shoving.","群衆は秩序を乱し、押し合いへし合いを始めた。","NGSL"
"cry","〈C〉叫び声, 鳴き声 / 声をあげて泣くこと","/krɑɪ/","The little girl was in tears, her cry echoing in the room.","小さな女の子は涙を流していて、彼女の泣き声が部屋に響いていた。","NGSL"
"cup","(紅茶・コーヒー用の)茶わん  / 茶わん1杯(の…)《+of+名》  / カップ(容量の単位,約240,)  / 賞杯  / 《修飾語を伴って》(悲しみ・楽しみなど)人生の経験  / 《複数形で》酒・飲酒","/kʌp/","I put some coffee into the cup.","私はコーヒーをカップに入れました。","NGSL"
"cut","〈他〉...を切る, を切断する / 〈像・文様など〉を刻む, を彫る / 《...から》を削除する《from, out of ...》 / 〈自〉切れる","/kʌt/","I will cut the cake into four pieces.","ケーキを4つに切り分けるつもりです。","NGSL"
"cycle","周期,循環期;一巡り  / 周波,サイクル  / (英雄・伝説などを扱った)一連の詩(物語)  / 自転車;三輪車;オートバイ","/saɪkəl/","The economy is at peak of a business cycle at present.","経済は今景気循環の頂点にある。","NGSL"
"daily","毎日の, 日々の","/ˈdeɪli/","I have a daily routine of exercising in the morning.","私は毎朝の運動の日課があります。","NGSL"
"damn","〈他〉をけなす, を酷評する / 〈神が〉〈人〉を地獄に落とす /を破滅させる","/dæm/","His actions damned him.","彼は自分の行いのために身を滅ぼした。","NGSL"
"dance","《…に合わせて》踊る,舞う,ダンスをする《to ...》 / 《副詞[句]を判って》こおどりする,跳ね回る / 〈木の葉・光の影などが〉舞う,揺れる / 〈ダンス〉を踊る / 〈赤ん坊〉を上下に揺すってあやす / 《副詞[句]を判って》…を踊って《…のように》する(言う)","/dæns/","She loves to dance to the rhythm of the music.","彼女は音楽のリズムに合わせて踊るのが大好きです。","NGSL"
"date","〈C〉日付 / 〈U〉(歴史上の) 時代","/deɪt/","The date of the meeting is next Wednesday.","会議の日付は来週水曜日です。","NGSL"
"dead","死んだ,死んでいる  / 生命を持っていない  / 死んだような;(死んだように)無感覚な  / 効力を失った  / 活動していない,働いていない,通用していない(no longer active)  / 《名詞の前にのみ用いて》全くの,完全な(complete)  / (色が)さえない;(音が)鈍い  / 《補語にのみ用いて》《話》疲れきった;(…で)疲れ果てた《+from+名》  / 《話》絶対に,完全に(completely)  / (動作・行動などの停止について)ぱったり,突然  / 《話》まっすぐに(straight)  / (暗さ・寒さなどの)最中,まっただ中《+of+名》","/dɛd/","He found a dead bird in his backyard.","彼は裏庭で死んだ鳥を見つけた。","NGSL"
"death","〈U〉〈C〉死,死亡;死に方,死にざま  / 〈U〉死んだ[ような]状体  / 《the~》(…の)絶滅,破滅《+of+名》  / 《the~》(…の)死の原因,命取り《+of+名》  / 《通例D-》死神(手に鎌(かマ)を持った黒装束の骸骨(がいこつ)で表される)","/dɛθ/","The news of his death shocked everyone.","彼の死の知らせはみんなを驚かせた。","NGSL"
"daughter","〈C〉娘 / 女の子孫 /  (娘のように)生み出されたもの","/ˈdɔːtər/","My daughter is an excellent student.","私の娘は優秀な生徒です。","NGSL"
"deep","(表面から下方または内部へ)深い  / (程度が)非常な,深い  / 奥行きの深い,奥まった  / 奥深くて測りしれない,深遠な  / 《補語にのみ用いて》(…の)奥深いところにいる(ある)《+in+名》  / (思想・感情などが)深い,強い  / (色が)濃い  / (音・声が)低い,太い","/diːp/","The ocean is deep.","海は深いです。","NGSL"
"decide","〈他〉〈人が〉を決心する / を決定する / 〈人が〉〈論争・問題など〉を解決する / 〈自〉決定する","/dɪˈsaɪd/","I need to decide which movie to watch tonight.","今夜何の映画を見るか決めなければならない。","NGSL"
"defend","(…から)…'を'守る,保護する《+名+against(from)+名(doing)》  / (言論などで)…'を'擁護する,支持する  / (法廷で)〈被告〉'を'弁護する  / 防御する,身を守る","/dɪˈfɛnd/","They defended their country.","彼らは祖国を守った。","NGSL"
"delight","〈U〉大喜び,歓喜 / 〈C〉楽しみ","/dɪˈlaɪt/","The children's faces were filled with delight as they opened their presents.","子供たちの顔は、プレゼントを開ける喜びで満たされていました。","NGSL"
"depress","【動/他】の元気をなくさせる / 〈力・活動など〉を弱める,を衰えさせる / …を押し下げる / 〈相場・市場など〉を下落させる,を不景気にする","/dɪˈprɛs/","She felt depressed after losing her job.","彼女は仕事を失った後、落ち込んだ気持ちになった。","NGSL"
"demand","〈C〉要求 / 〈U〉《...の》需要《for ...》","/dɪˈmænd/","The company is experiencing high demand for its products.","会社は製品の需要が高まっています。","NGSL"
"demonstrate","(真理・学説など) を論証する, を証明する / (実例・実験などによって)…を説明して見せる,を実証する","/dɪˈmɒnstreɪt/","Scientists use experiments to demonstrate their theories.","科学者は実験を使って自分たちの理論を論証します。","NGSL"
"desert","〈人・地位・場所など〉を見捨てる,を放棄する / 〈軍務・持ち場など〉から逃げる / (勇気・自信・希望などが)〈人〉から抜け去る / 〈軍人などが〉《…から》脱走する《from ...》/ 《…に》投降する《to ...》","/dɪˈzɜːrt/","He decided to desert his post and run away.","彼は職を捨てて逃亡することを決意した。","NGSL"
"diet","【名/C】(日本・デンマーク・スウェーデンなどの) 議会,国会（The  〜）","/daɪət/","The Diet was in pandemonium yesterday.","昨日の国会は大荒れだった。","NGSL"
"direct","を指揮する / に命令する/ に道を教える / を向ける","/dɪˈrɛkt/","Use only as directed.","あくまで説明書に従ってお使いください。","NGSL"
"disaster","(突然の大きな)災害,災難・不幸","/dɪˈzæs.tər/","The earthquake was a devastating disaster.","その地震は壊滅的な災害だった。","NGSL"
"discount","(手形・商品の)割引[額]","/dɪskaʊnt/","They are offering a discount on all products.","彼らはすべての商品に割引を提供しています。","NGSL"
"disease","〈U〉(体の) 病気, 疾患 / (精神・道徳などの)病気,病弊","/dɪˈziːz/","He was diagnosed with a rare disease.","彼は珍しい病気と診断されました。","NGSL"
"discipline","〈U〉(組織的な)訓練 / (訓練による) 規律正しさ, 統制 / 〈C〉学科, 学問分野","/dɪsəˈplɪn/","Discipline is the key to success.","規律は成功の鍵です。","NGSL"
"distance","〈U〉(二つの物・場所の間の) 距離, 間隔 / 遠方, 離れた地点","/dɪs.təns/","The distance between the two cities is 200 kilometers.","二つの都市の距離は200キロメートルです。","NGSL"
"dispute","論争, 紛争","/dɪˈspjuːt/","There was a dispute between the two neighbors over the property boundary.","隣人同士の土地の境界に関して論争がありました。","NGSL"
"divide","(部分・断片・グループなどに)…‘を'分ける,分割する《+名+into+名》  / (人と)…‘を'分け合う《+名+with+名》;(人人の間で)…‘を'分配する《+名+among(between)+名》  / (…から)…‘を'分離する,切り離す,区切る《+名+from+名》  / (…に)〈時間など〉‘を'割り当てる《+名+between+名》  / (感情的に・考え方の上で)〈人〉‘を'対立させる,分裂させる  / (…で)…‘を'割る《+名+by+名》;(…を)…‘で'割る《+名+into+名》  / 分かれる,分岐する  / (…で)分かれて対立する,分裂する《+on(over)+名》","/daɪˈvaɪd/","Please divide the cake into equal parts.","ケーキを均等な部分に分けてください。","NGSL"
"do","『…をする』,行う,果たす / 《通例have ~,時にbe ~の形で》…を終える / …を処理する / 〈学課〉を勉強する / 〈人〉に役立つ([[serve]]) / 《…を》 終える 《with ...》 / 〈事が〉運ぶ / 《...に》間に合う《for ...》","/dʊ/","What do you want to do today?","今日は何をしたいですか？","NGSL"
"double","(数量・強さ・重さ・価値などが)2倍の,倍の  / 二重の,二様の;複の,対の,2人用の  / 表裏のある,二心ある  / (意味が)二様にとれる,あいまいな  / (花が)八重の,重弁の","/ˈdʌbəl/","He paid double fare.","彼は二倍の運賃を払った。","NGSL"
"down","(高い所から)下へ, 降りて / (価格・品質・温度などが) 下がって / (健康・風の勢いなどが) 衰えて","/daʊn/","She walked down the street.","彼女は通りを歩いていった。","NGSL"
"draft","〈C〉下絵,スケッチ,設計図;草稿,草案  / 〈C〉為替(かわせ)手形  / 〈C〉(特に部屋などの)すきま風,通風  / 〈C〉(ストーブ・煙突の)通気  / 〈U〉(車などを)引くこと  / 〈C〉網で引っぱること,一網;一網の漁獲高  / 〈U〉《米》徴兵,徴募;《集合的に》徴集兵,選抜隊,分遣隊;その選抜  / 〈U〉(特にスポーツで人を)引き抜くこと;ドラフト制  / 〈U〉(液体を容器から)つぎ出すこと,(酒などの)たる抜き  / 〈C〉一飲み[の量],一吸い[の量],(水薬などの)1回の服用量  / 〈C〉(船の)喫水  / 牽引(けんいん)用の  / たる出しの,生の  / 下絵の;草案の","/dɹæft/","I need to make a draft before starting the final artwork.","最終作品を始める前に下絵を作る必要があります。","NGSL"
"dress","〈U〉衣服 / 〈C〉(ワンピースの) 婦人服, 子供服","/dɹɛs/","She bought a new dress for the party.","彼女はパーティー用に新しいドレスを買った。","NGSL"
"due","支払われるべき, 支払期日が来ている / 〈敬意などが〉《...に》与えられるべき《to ...》 / 当然の / 《...に》到着予定で《at ...》","/djuː/","The flowers are due to bloom soon.","花はもうすぐ咲くのが時期だ。","NGSL"
"during","(ある期間)の間ずっと,…の間じゅう  / (しばらく続く時間・期間)の間[のある間]に,…中に","/djʊərɪŋ/","I studied hard during the summer vacation.","夏休みの間ずっと一生懸命勉強しました。","NGSL"
"each","おのおのの,めいめいの,それぞれの, 各…","/iːtʃ/","Each student must bring their own lunch.","各生徒は自分のランチを持ってこなければならない。","NGSL"
"easy","簡単な, 容易な / 心配のない, 気楽な / ゆったりとした /","/ˈiːzi/","This task is easy.","このタスクは簡単です。","NGSL"
"edge","〈C〉縁,端;(峰などの)背  / 〈C〉(刃物の)刃;〈U〉(刃の)鋭利さ  / 〈U〉(欲望などの)強さ,激しさ","/ɛdʒ/","He stood on the edge of the cliff, looking down at the vast ocean below.","彼は崖の縁に立ち、下に広がる広大な海を見下ろしていた。","NGSL"
"elect","〈他〉(投票で)〈議長・議員など〉を選ぶ, を選挙する","/ɪˈlɛkt/","She decided to elect him as the new president.","彼女は彼を新しい社長に選ぶことに決めた。","NGSL"
"eleven","〈C〉(数の)11;11を表す記号(11,XIなど)  / 〈U〉11時;11歳  / 〈U〉《複数扱い》11人,11個  / 〈U〉《単数扱い》(フットボールのチームなどの)11人(11個)一組  / 11の,11人の,11個の  / 《補語にのみ用いて》11歳の","/ɪˈlɛvən/","I have eleven apples.","私はりんごを11個持っています。","NGSL"
"element","〈C〉(基本的な) 要素, 成分 / (物質を構成する)元素","/ˈɛlɪmənt/","Education is a critical element.","教育は重要な要素である。","NGSL"
"empire","〈C〉帝国  / 〈U〉帝権,絶対支配力  / 〈C〉(強大な社会・経済組織としての)…帝国  / 《帝国》ナポレオンの帝政期(1804‐15)","/ˈɛmpaɪər/","The Roman Empire was one of the most powerful empires in history.","ローマ帝国は歴史上最も強力な帝国の一つでした。","NGSL"
"end","〈C〉終わり / (細いものの)端, 先端 / (物事・期間の)最後 / 《しばしば複数形で》目的","/ɛnd/","The end of the story was a surprise.","物語の結末が驚きだった。","NGSL"
"engage","取り組む / 従事する / 婚約する / 引きつける","/ɪnˈɡeɪdʒ/","I engage in various activities to support the community.","私は地域を支援するためにさまざまな活動に携わっています。","NGSL"
"episode","挿話的なでき事(人生の特殊な経験など)  / (小説・劇などの中の本筋と直接関係のない)挿話的な事件","/ˈɛpɪˌsoʊd/","The camping trip was definitely an episode to remember.","キャンプ旅行は間違いなく忘れられない挿話的なでき事だった。","NGSL"
"enormous","巨大な, ばく大な","/ɪˈnɔːr.məs/","The elephant is enormous.","その象は巨大です。","NGSL"
"escape","《Aから》逃げ出す,脱走する《from, out of A》； 《Aから》免れる《from A(doing)》； 《Aから》流出する,漏れる《from, out of A》 ;（未然に）をうまくかわす；を免れる,を逃れる；に忘れられる,の注意を引かない；（言葉・ため息などが）（人）から思わず出る；","/ɪˈskeɪp/","He managed to escape from the prison.","彼はなんとか刑務所から脱出した。","NGSL"
"equipment","〈U〉《...のための》 備品, 装備 《for ...》 / 《...を》 装備すること 《with ...》 / 《...に》 必要な知識, 必要な能力 《for ...》","/ɪˈkwɪpmənt/","I need to buy some new equipment for my gym.","私はジムのために新しい機器を買う必要があります。","NGSL"
"estate","〈C〉地所 / 〈U〉財産","/ɪˈsteɪt/","He inherited a large estate from his grandfather.","彼は祖父から大きな不動産を相続しました。","NGSL"
"estimate","を見積る,概算する / を評価する","/ˈɛstɪmət/","He roughly estimated the cost of the project.","彼はプロジェクトのコストをおおよそ見積もった。","NGSL"
"ethnic","(共通の言語・文化・歴史を持つ)民族の","/ˈɛθnɪk/","She is proud of her ethnic heritage.","彼女は自分の民族的な遺産に誇りを持っています。","NGSL"
"evaluate","〈財産・資料・能力〉…を評価する,の数量を見積る /  （関数などの）値を求める","/ɪˈvæljueɪt/","I need to evaluate the performance of my employees.","私は従業員のパフォーマンスを評価する必要があります。","NGSL"
"everywhere","いたるところに, いたるところで / 《接続詞的に》どこで...しても","/ˈɛvriwɛr/","The wind was blowing everywhere.","風はどこにでも吹いていた。","NGSL"
"evidence","証拠,証拠物件  / 印,徴侯,形跡(indication)・(証拠をあげて)…‘を'証明する・「in evidence」で「証拠(証人)として」","/ˈɛvɪdəns/","There is no evidence to support his claim.","彼の主張を裏付ける証拠はありません。","NGSL"
"exactly","正確に, きちんと / まさしく / 《否定文で》正確なところ,必ずしも(…でない)  / 《返事で》《yesの代わりに》全くそうです,そのとおりです / 《not ~の形で否定して》必ずしもそうではない","/ɪɡˈzæktli/","He followed the instructions exactly.","彼は指示を正確に従った。","NGSL"
"examination","〈C〉(…の)試験《+in(on)+名ofを用いない》  / 〈U〉〈C〉(…の)調査,検討《+into(of)+名》  / 〈C〉〈U〉診察,診断  / 〈C〉詩験問題[用紙];詩験答案[用紙]","/ɪɡˌzæmɪˈneɪʃən/","I have an examination tomorrow.","明日試験があります。","NGSL"
"example","(…の)例,実例(instance);(…の)見本,標本《+of+名》  / (…にとっての)手本,模範(model)《+to+名》  / (…への)見せしめ,戒め《+for(to)+名》","/ɪɡˈzæmpl̩/","This is an example.","これは例です。","NGSL"
"excite","〈他〉を刺激する；を興奮させる / 《...へ / ...するように》を駆り立てる《to, to do》","/ɪkˈsaɪt/","The thrilling roller coaster ride excited the crowd.","スリリングなジェットコースターの乗り物は人々を興奮させました。","NGSL"
"exercise","〈他〉(手足など)を働かせる / ...に《...の》 訓練させる《in ...》 / 〈自〉練習する / 運動する","/ˈɛksərsaɪz/","I exercise every day.","毎日運動している。","NGSL"
"exhaust","〈他〉を疲れ果てさせる / を使い果たす","/ɪɡˈzɔːst/","I feel exhausted after running a marathon.","マラソンを走った後、私は疲れ果てた気持ちです。","NGSL"
"exhibition","〈U〉《an~》(感情などを)表すこと,示すこと,(能力などの)発揮《+of+名》  / 〈C〉(…の)展覧会,展示会《+of+名》  / 〈C〉《英》奨学金","/ˌɛksəˈbɪʃən/","I visited an art exhibition last weekend.","先週末、私は美術展に行きました。","NGSL"
"eye","〈C〉(人・動物の器官としての)目  / 〈C〉(まぶた・まつ毛・まゆ毛などを含めて,外側からみえる)目,目の周り  / 〈C〉視力,視覚  / 〈C〉《単数形で》視線,まなざし","/aɪ/","She has beautiful blue eyes.","彼女は美しい青い目をしています。","NGSL"
"facility","施設 / 設備 / 機能","/fəˈsɪləti/","The facility is equipped with state-of-the-art technology.","その施設は最新の技術で設備されています。","NGSL"
"extend","《...まで》〈距離・期間など〉を延ばす《to ...》 / を伸ばす / 【動/自】《…まで》広がる, 伸びる《to ...》","/ɪkˈstɛnd/","I need to extend my stay in the hotel.","ホテルでの滞在を延長する必要があります。","NGSL"
"failure","〈U〉《...における》 失敗, 不成功《in ...》 / 《...の》 衰弱, 減退 《in, of ...》 / 〈C〉失敗者, 落伍者 / 失敗した企て, 不出来なもの / 〈U/C〉怠慢, 不履行 / 《...の》 不足, 欠乏 《of ...》 / 《...の》 破産 《of ...》","/ˈfeɪljər/","Failure is not the opposite of success; it's part of success.","失敗は成功の対義語ではなく、成功の一部です。","NGSL"
"familiar","よく知られている, 見慣れた / 《be ~》よく知っている, 《...に》精通している《with ...》 / 親しい","/fəˈmɪliər/","He is a familiar face in the neighborhood.","彼は近所ではよく知られた顔です。","NGSL"
"family","《集合的に》家族,家庭  / 〈U〉《時にa family》(一家の)子供たち  / 〈C〉(血縁に関係ある)親族,身内,一族,一門  / 〈U〉家柄;(特に)名門  / 〈C〉(関係ある人・物の)一団,一群,(生物分類の)科《+of+名》","/'fæməli/","My family lives in Tokyo.","私の家族は東京に住んでいます。","NGSL"
"fan","【名/C】うちわ / 扇状のもの / 扇風機 / 【動/他】〈空気〉をうちわなどで動かす / 〈感情など〉をあおる / …を扇形に広げる / 【動/自】扇形に広がる《out》 / (野球で)三振する","/fæn/","I am a big fan of basketball.","私はバスケットボールの大ファンです。","NGSL"
"farmer","農場経営者,農場主  / 農業労働者,耕作する人","/ˈfɑːrmər/","The farmer harvested his wheat last week.","先週農夫は彼の小麦を収穫した。","NGSL"
"fault","〈C〉欠点 / 誤り / 〈U〉(過失の) 責任","/fɔlt/","It's not my fault that the car broke down.","車が故障したのは私のせいではありません。","NGSL"
"feel","(手・指で)…に触れる / 《進行形にできない》(身体で)…を感じる / (心で)…を感じる, を意識する / …と思う,と堅く信じる / 〈人が〉感じる,思う / 《~ 形》〈物が〉《…の》感じがする,《…の》手触りがする","/fiːl/","I feel the softness of the fabric.","私はその生地の柔らかさを感じる。","NGSL"
"feature","〈C〉特徴 / 容貌 / 呼びもの、<V>出演させる","/'fiːtʃər/","This new smartphone has a unique feature that allows you to unlock it using facial recognition.","この新しいスマートフォンには、顔認識を使ってロックを解除することができるユニークな機能があります。","NGSL"
"fifty","〈C〉(数の)50;50記号(50,Lなど)  / 〈U〉50分;50歳  / 〈U〉《複数扱い》50人,50個  / 《the fifties》(世紀の)50年代;(年齢の)50代  / 50の,50個の,50人の  / 《補語にのみ用いて》50歳の(で)","/ˈfɪfti/","I have fifty dollars in my wallet.","私の財布には50ドルあります。","NGSL"
"fight","〈両者・数人が〉『戦う』,格闘する;激しく口論する  / 『…と戦う』  / 〈戦い〉を交える,〈決闘など〉を戦う  / …を制圧しようとする  / 〈犬など〉を戦わせる  / 〈軍艦・軍隊など〉を指揮する,操縦する","/faɪt/","They fight each other every day.","彼らは毎日互いに戦います。","NGSL"
"fill","〈他〉をいっぱいにする / を占める / を満たす / 〈自〉《...で》 いっぱいになる 《with ...》","/fɪl/","The balloon was filled with helium.","風船はヘリウムで満たされていた。","NGSL"
"financial","財政上の;財界の;金融上の:","/fəˈnænʃəl/","The government is facing financial challenges due to the economic downturn.","経済の低迷により、政府は財政上の課題に直面しています。","NGSL"
"flat","〈C〉アパート,マンション, フラット / 《米》安アパート / 〈C〉平面 / 《おもに米》空気の抜けたタイヤ","/flæt/","He lives in a flat.","彼はアパートに住んでいる。","NGSL"
"finger","(手の)指  / 指の形をしたもの;(手袋の)指;(メーターなどの)指針  / 指幅(びん入りの酒の量を測るときなど)","/'fɪŋɡər/","I accidentally cut my finger while chopping vegetables.","野菜を切っている最中に指を誤って切ってしまった。","NGSL"
"first","(順序・時間的に)第1の,1番目の;最初の / (階級・等級・重要度などが)1番の,第一級の,首席の,最も重要な","/fɜrst/","He is the first person to arrive at the party.","彼はパーティーに到着した最初の人です。","NGSL"
"firstly","(事柄を列挙して) 第一に,まず第一に","/'fɜːrstli/","Firstly, let's discuss the importance of time management.","まずは、時間管理の重要性について話しましょう。","NGSL"
"firm","しっかりした","/fɜrm/","He has a firm grip on the situation.","彼は状況をしっかりと把握している。","NGSL"
"flash","ぱっと光る,(反射して)きらめく  / 〈目などが〉きらりと(ぎらっと)光る  / (心に)〈言葉・考えなどが〉ひらめく《+through(into, across)+名》  / 《副詞[句]を伴って》〈人・車などが〉さっと通り過ぎる  / …‘を'ぱっと照らす;〈火・光〉‘を'ぱっと発する  / …‘を'ちらり(ぴかり,ぎらり)とさせる  / (…に)〈サイン・視線など〉‘を'すばやく送る,さっと送る《+名+at+名》","/ˈflæʃ/","The lightning flashed.","稲妻が光った。","NGSL"
"fit","（意図・目的など）...に合う / 《...に》...を合わせる 《to, in, on ...》/ 適する, ぴったり合う","/fɪt/","This dress doesn't fit me well.","このドレスは私には合わない。","NGSL"
"flight","【名/U】飛ぶこと / 【名/C】飛行, 飛行距離 / (飛行機の)定期便 / 《a ~》(鳥・昆虫・飛行機などの) 一団となって飛ぶ群れ / 《a ... of stairs》(階と階,または踊り場と踊り場の間の) 一続きの階段","/faɪt/","I booked a flight to Tokyo.","東京へのフライトを予約しました。","NGSL"
"forest","〈C〉〈U〉(広い地域にわたる)森林,山林  / 〈C〉《通例単数形で》(…の)林《+of+名》","/ˈfɔːrɪst/","I love hiking in the forest.","私は森林でハイキングするのが大好きです。","NGSL"
"fool","馬鹿, ばか者 / 道化師","/fuːl/","He is such a fool.","彼は本当にばかだ。","NGSL"
"formula","〈C〉決まった言い方 / 《...の》解決策 / 決まった方法《for》 / 《...の》製法,処方箋《for》 / 《...の》公式《for》","/fɔːrˈmjuːlə/","The chemical formula for water is H2O.","水の化学式はH2Oです。","NGSL"
"forth","(空間的に) 前へ, 先へ / 外へ, 表へ / (時間的に)先, 今後,","/fɔːrθ/","He stepped forth into the unknown.","彼は未知の世界に進んだ。","NGSL"
"fourteen","〈C〉(数の)14;14の記号(14,XIVなど)  / 〈U〉(24時間制の)14時,14分;14歳  / 〈U〉《複数扱い》14人,14個  / 〈C〉14(14人,14個)1組のもの  / 14の;14個の;14人の  / 《補語にのみ用いて》14歳の(で)","/ˈfɔːrˈtiːn/","I have fourteen books on my shelf.","私の本棚には14冊の本があります。","NGSL"
"found","【動/他】...を創設する, を設立する / 《...の上に》（建物など）を建てる《on, upon ...》 / 《...に》...の基礎を置く《on, upon ...》","/faʊnd/","They founded the company last year.","彼らは去年その会社を設立した。","NGSL"
"fragment","〈C〉《...の》破片, 断片《of ...》","/'fɹæɡ.mənt/","I found a fragment of a broken vase on the floor.","床の上に割れた花瓶の破片を見つけました。","NGSL"
"frequently","しばしば, たびたび, 頻繁に","/frɛkwəntli/","I frequently go to the gym to exercise.","私はしばしば運動するためにジムに行きます。","NGSL"
"friendly","好意的な,友情のこもった,親切な / 友好的,仲の良い / 役に方つ;受け入ける","/ˈfrɛndli/","She is very friendly and always willing to help others.","彼女はとても好意的で、いつも他の人を助けることを喜んでいます。","NGSL"
"Friday","金曜日(《略》Fr.,Fri.)","/'fraɪdeɪ/","I always look forward to Friday.","金曜日を楽しみにしています。","NGSL"
"from","《場所・時》…から / 《起源》...出身の / 《原因》...によって / 《区別》...と違って / 《抑制・妨害》…することを《~ doing》","/frʌm/","I am coming from the store.","私は店から来ています。","NGSL"
"fulfill","(命令・約束など)を果たす / (要求・希望など)を満たす / (期限・仕事など)を完了する","/fʊlˈfɪl/","He always fulfills his promises.","彼はいつも約束を果たします。","NGSL"
"gallery","回廊,歩廊  / (広間などの上部に突き出た)さじき,(特に)(劇場の)天井さじき;(議場などの)傍聴席  / 《the ~》《集合的に》天井さじきの見物人,大向こう  / 画廊,美術品陳列場(室)  / 《集合的に》(ゴルフ試合などの)見物人;(国会などの)傍聴人  / (鉱山の)坑道","/ˈɡæləri/","I visited the art gallery and admired the beautiful paintings.","私は美術館を訪れ、美しい絵画を称賛しました。","NGSL"
"game","〈C〉遊び / 競技 /","/ɡeɪm/","He likes to play games.","彼はゲームをしたがるのが好きです。","NGSL"
"gap","〈C〉《壁・へいなどの》割れ目, すきま《in ...》 / 《連続するものの》途切れ《in ...》 / 《意見・性格などの》大きなずれ《between ...》","/ɡæp/","There is a gap between the two buildings.","2つの建物の間に隙間があります。","NGSL"
"gentleman","〈C〉紳士(名誉を重んじ,礼儀正しく,思いやりのある男性);君子  / 〈C〉上流階級の男性  / 〈C〉(manの敬称として)男の方  / 《複数形で》(複数の男性へ呼びかけて)諸君,皆さん","/ˈdʒɛntəlmən/","He is a true gentleman.","彼は本当の紳士だ。","NGSL"
"gesture","〈U〉〈C〉(気持ちや考えを表現するときの)身ぶり,手まね,しぐさ  / 〈C〉《修飾語[句]を伴って》(うわべにせよ,心からにせよ,礼儀・尊敬・友情などを表す)行為,しぐさ,印","/ˈdʒɛs.tʃər/","She made a gesture of apology.","彼女は謝罪の身ぶりをした。","NGSL"
"gift","〈C〉(…への)贈り物,寄贈品,寄付金《+to(for)+名》  / 〈C〉(…に対する)生まれつきの才能,天賦の才《+for(of)+名(doing)》  / 〈U〉《古》与えること,贈与;(権力者などが持つ地位などを)与える権限","/ɡɪft/","She gave him a gift on his birthday.","彼の誕生日に彼にプレゼントをあげた。","NGSL"
"give","(無償で)〈物〉を与える / 〈物〉を渡す / 〈代金〉を支払う / 《抽象的なことを目的語にして》…を与える,を授ける / 《…に》物を与える,寄付する《to ...》","/ɡɪv/","I give my time to help others.","私は他人を助けるために自分の時間を提供します。","NGSL"
"gold","**金の**,金製の","/ɡoʊld/","The golden sunset was beautiful.","黄金色の夕日が美しかった。","NGSL"
"govern","(国・国民)を治める, を統治する / (学校など)を管理する / (行動など)を左右する, に影響を与える / 治める","/ˈɡʌvərn/","The government has the power to govern the country.","政府は国を統治する権力を持っています。","NGSL"
"governor","〈C〉(米国の州の) 知事 / (植民地・属領などの) 総督 / (協会・銀行などの)総裁,理事","/ˈɡʌvərnər/","The governor of California signed a new bill into law.","カリフォルニア州の知事が新しい法案に署名しました。","NGSL"
"graduate","卒業生","/ˈɡɹædʒuˌeɪt/","She is a college graduate.","彼女は大学を出ている。","NGSL"
"grain","〈C〉《穀類の》粒《of ...》 / 〈U〉《集合的に》穀物, 穀類 / 〈C〉《おもに否定文で》ごく少量,ほんの少し《の…》《of ...》","/ɡreɪn/","I bought a bag of grain from the store.","私は店から一袋の穀物を買いました。","NGSL"
"gray","灰色の,ねずみ色の,鉛色の  / (顔色が)青白い([[pale]])  / (空が)曇った  / (気持ちなどが)陰気な,寂しい([[gloomy]])  / しらがの多い","/ɡreɪ/","The sky was gray and cloudy.","空は灰色で曇っていました。","NGSL"
